benchmark,mode,component,seconds,iteration,status,detail
508,qemu-6-1-0,execution,3,0,passed,
508,qemu-6-1-0,tracing,1,0,passed,
508,qemu-6-1-0,validation,0.5,0,passed,
508,qemu-6-1-0,serialization,0.1,0,passed,
508,qemu-6-1-0,total,4.6,0,passed,
lua,qemu-9-0-0,execution,1400,0,passed,
lua,qemu-9-0-0,tracing,8,0,passed,
lua,qemu-9-0-0,validation,12,0,passed,
lua,qemu-9-0-0,serialization,1,0,passed,
lua,qemu-9-0-0,total,1421,0,passed,
curl-full,qemu-8-2-0,execution,1685,0,passed,
curl-full,qemu-8-2-0,tracing,25,0,passed,
curl-full,qemu-8-2-0,validation,27,0,passed,
curl-full,qemu-8-2-0,serialization,1,0,passed,
curl-full,qemu-8-2-0,total,1738,0,passed,
