benchmark,mode,component,seconds,iteration,status,detail
508,native,execution,0.01,0,passed,
508,native-cross-validated,concrete,1,0,passed,
508,native-cross-validated,symbolic,2,0,passed,
508,native-cross-validated,validation,0.5,0,passed,
508,native-cross-validated,total,3.5,0,passed,
lua,native-selective,concrete,30,0,passed,
lua,native-selective,symbolic,270,0,passed,
lua,native-selective,validation,0,0,passed,
lua,native-selective,total,300,0,passed,
curl-full,native-full-cross-validated,concrete,1700,0,passed,
curl-full,native-full-cross-validated,symbolic,320,0,passed,
curl-full,native-full-cross-validated,validation,63,0,passed,
curl-full,native-full-cross-validated,total,2083,0,passed,
curl-full,native-full-speculative,concrete,247,0,passed,
curl-full,native-full-speculative,symbolic,536,0,passed,
curl-full,native-full-speculative,validation,0,0,passed,
curl-full,native-full-speculative,total,783,0,passed,
